"Product sold","Nb of reviews","Total Votes","Helpful votes","Nb of 5 star reviews","% of 5 star review","5 star reviews paid","5 star reviews unpaid","5 star reviews paid on verified purchase"
"Casio Men's PAW1300T-7V ""Pathfinder"" Resin Watch",5,392,373,4,0,0,4,0
"Casio Men's PRG-270 Pro Trek Triple Sensor Multifunction Digital Sport Watch",7,527,487,4,0,0,4,0
"Casio Men's PRW-2500T-7CR Pro Trek Tough Solar Digital Sport Watch",7,813,738,4,0,0,4,0
"Casio Men's PRW-3000-1ACR Protrek Black Sport Watch",5,348,321,4,0,0,4,0
"Casio Men's W93H-1AV Multifunction Sport Watch",5,138,134,4,0,0,4,0
"Casio Men's WS210H-1AV",5,175,166,4,0,0,4,0
"Casio Women's LA11WB-1 Sport Watch",5,328,321,4,0,0,4,0
"Citizen Eco-Drive Men's AT4010-50E Titanium Perpetual Chrono A-T Watch",6,492,451,4,0,0,4,0
"Citizen Eco-Drive Men's CB0020-50E World Perpetual A-T Stainless Steel Watch",6,438,409,4,0,0,4,0
"Citizen Eco-Drive Men's Silvertone and Black World Time A-T Watch",4,175,160,4,100,0,4,0
"Citizen Eco-Drive Two-Tone Regent Women's Watch",6,307,301,4,0,0,4,0
"Citizen Men's AT8020-54L Blue Angels Stainless Steel Eco-Drive Dress Watch",5,201,187,4,0,0,4,0
"Citizen Men's BJ8050-08E Eco-Drive Professional Diver Black Sport Watch",7,464,429,4,0,0,4,0
"Citizen Men's BL8000-54L Eco-Drive Calibre 8700 Stainless Steel Bracelet Watch",8,328,302,4,0,0,4,0
"Citizen Men's BL8042-54E ""Calibre 8700"" Stainless Steel Diamond-Accented Eco-Drive Watch",4,117,102,4,100,0,4,0
"Citizen Men's BM6400-00E ""Eco-Drive"" Stainless Steel and Canvas Watch",5,243,214,4,0,0,4,0
"Citizen Men's BM7100-59E Corso Eco Drive Stainless Steel Dress Watch",4,159,151,4,100,0,4,0
"Citizen Men's Stainless Steel Eco Drive Watch",6,261,239,4,0,0,4,0
"Citizen Watches Mens AT4008-51E Perpetual Chrono A-T Watch",4,343,334,4,100,0,4,0
"Citizen Women's Eco-Drive Stainless Steel Black Strap Watch",4,187,184,4,100,0,4,0
"Citizen Women's EW1540-54A Eco-Drive Silhouette Sport Stainless Steel Watch",5,132,128,4,0,0,4,0
"Fanmis Mens Military Multifunction Digital LED Watch Electronic Waterproof Alarm Quartz Sports Watch Blue",4,153,142,4,100,0,4,0
"G-Shock G9000MS-1CR Men's Military Black Resin Sport Watch",7,369,328,4,0,0,4,0
"G-Shock GA-1000-1A Aviation Series Men's Luxury Watch - Black / One Size",5,228,215,4,0,0,4,0
"Hamilton Men's HML-H70455533 Khaki Field Black Dial Watch",4,350,338,4,100,0,4,0
"HD3: Capture Tourbillon Limited Edition Men’s Watch ( Black PVD & Rose Gold Case / Black Skeleton Dial / Black Leather Strap)",6,307,231,4,0,0,4,0
"I By Invicta Men's 90242-001 Stainless Steel Watch with Black Band",7,202,173,4,0,0,4,0
"Invicta Men's 1774  Pro-Diver Collection 18k Gold Ion-Plated Stainless Steel Watch",4,276,254,4,100,0,4,0
"Invicta Men's 6620 II Collection Chronograph Stainless Steel Silver Dial Watch",11,609,504,4,0,0,4,0
"Invicta Men's 8927 Pro Diver Collection Automatic Watch",5,159,143,4,0,0,4,0
"Invicta Women's 5168 Baby Lupah Collection Interchangeable Watch Set",8,680,630,4,0,1,3,0
"IWC Men's IW524205 Portuguese Minute Repeater Gold Watch",7,618,417,4,0,0,4,0
